Episode finished after 200 timesteps, total rewards -194
Episode finished after 200 timesteps, total rewards -190
Episode finished after 56 timesteps, total rewards -48
Episode finished after 38 timesteps, total rewards -29
Episode finished after 200 timesteps, total rewards -195
Episode finished after 145 timesteps, total rewards -130
Episode finished after 61 timesteps, total rewards -46
Episode finished after 200 timesteps, total rewards -196
Episode finished after 200 timesteps, total rewards -194
Episode finished after 200 timesteps, total rewards -191
Episode finished after 87 timesteps, total rewards -75
Episode finished after 200 timesteps, total rewards -192
Episode finished after 200 timesteps, total rewards -188
Episode finished after 200 timesteps, total rewards -194
Episode finished after 174 timesteps, total rewards -158
Episode finished after 21 timesteps, total rewards -13
Episode finished after 200 timesteps, total rewards -198
Episode finished after 191 timesteps, total rewards -174
Episode finished after 61 timesteps, total rewards -51
Episode finished after 200 timesteps, total rewards -187
Episode finished after 64 timesteps, total rewards -53
Episode finished after 200 timesteps, total rewards -192
Episode finished after 183 timesteps, total rewards -160
Episode finished after 11 timesteps, total rewards -5
Episode finished after 200 timesteps, total rewards -194
Episode finished after 127 timesteps, total rewards -116
Episode finished after 200 timesteps, total rewards -193
Episode finished after 34 timesteps, total rewards -25
Episode finished after 200 timesteps, total rewards -191
Episode finished after 64 timesteps, total rewards -55
Episode finished after 197 timesteps, total rewards -183
Episode finished after 160 timesteps, total rewards -140
Episode finished after 80 timesteps, total rewards -67
Episode finished after 184 timesteps, total rewards -166
Episode finished after 200 timesteps, total rewards -193
Episode finished after 200 timesteps, total rewards -192
Episode finished after 200 timesteps, total rewards -192
Episode finished after 127 timesteps, total rewards -115
Episode finished after 200 timesteps, total rewards -193
Episode finished after 200 timesteps, total rewards -188
Episode finished after 200 timesteps, total rewards -188
Episode finished after 200 timesteps, total rewards -193
Episode finished after 7 timesteps, total rewards -1
Episode finished after 173 timesteps, total rewards -158
Episode finished after 194 timesteps, total rewards -184
Episode finished after 9 timesteps, total rewards -2
Episode finished after 188 timesteps, total rewards -171
Episode finished after 11 timesteps, total rewards -5
