pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Actor-Critic training
pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -50, global rewards -48.71159134253113 (g_ep 194), action: [1. 1.], time: 22:50:54.450629
Episode finished after 50 timesteps, total rewards -50, global rewards -48.762359784385936 (g_ep 198), action: [1. 0.], time: 22:51:02.236637
Episode finished after 50 timesteps, total rewards -50, global rewards -48.81112774706558 (g_ep 202), action: [1. 1.], time: 22:51:10.756880
Episode finished after 50 timesteps, total rewards -50, global rewards -48.857974057431484 (g_ep 206), action: [1. 0.], time: 22:51:19.835879
Episode finished after 50 timesteps, total rewards -50, global rewards -48.89307443625219 (g_ep 210), action: [0. 0.], time: 22:51:31.190242
Episode finished after 50 timesteps, total rewards -50, global rewards -48.93669172009686 (g_ep 214), action: [0. 1.], time: 22:51:40.040130
Episode finished after 50 timesteps, total rewards -50, global rewards -48.97859030892508 (g_ep 218), action: [0. 1.], time: 22:51:48.750605
Episode finished after 50 timesteps, total rewards -50, global rewards -49.018837926178094 (g_ep 222), action: [1. 1.], time: 22:51:59.160235pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -43, global rewards -43.0 (g_ep 1), action: [1. 1.], time: 22:44:20.508277
Episode finished after 50 timesteps, total rewards -46, global rewards -43.1376199102 (g_ep 6), action: [0.29069716 1.        ], time: 22:44:26.944969
Episode finished after 50 timesteps, total rewards -48, global rewards -43.291838461247146 (g_ep 9), action: [1. 1.], time: 22:44:33.476124
Episode finished after 50 timesteps, total rewards -50, global rewards -43.43796079143854 (g_ep 13), action: [1. 1.], time: 22:44:39.964920
Episode finished after 50 timesteps, total rewards -46, global rewards -43.6268313187923 (g_ep 17), action: [1. 1.], time: 22:44:46.960028
Episode finished after 50 timesteps, total rewards -48, global rewards -43.857959593774915 (g_ep 21), action: [1.        0.9010344], time: 22:44:55.210019
Episode finished after 50 timesteps, total rewards -44, global rewards -44.000774512521396 (g_ep 25), action: [0.32161468 0.        ], time: 22:45:02.443431
Episode finished after 50 timesteps, total rewards -49, global rewards -44.22716793363775 (g_ep 29), action: [1.         0.64895654], time: 22:45:08.521618
Episode finished after 50 timesteps, total rewards -47, global rewards -44.41493756065237 (g_ep 33), action: [1. 1.], time: 22:45:16.607074
Episode finished after 50 timesteps, total rewards -49, global rewards -44.55679634516181 (g_ep 37), action: [0. 1.], time: 22:45:22.257239
Episode finished after 50 timesteps, total rewards -50, global rewards -44.74217131754501 (g_ep 41), action: [0.        0.8074451], time: 22:45:31.174551
Episode finished after 50 timesteps, total rewards -50, global rewards -44.861138776370176 (g_ep 45), action: [1.        0.6116128], time: 22:45:37.509116
Episode finished after 50 timesteps, total rewards -50, global rewards -45.161864167425975 (g_ep 51), action: [0.58861196 0.        ], time: 22:45:47.174511
Episode finished after 50 timesteps, total rewards -49, global rewards -45.342506023391365 (g_ep 55), action: [1.         0.86838645], time: 22:45:53.782961
Episode finished after 50 timesteps, total rewards -46, global rewards -45.456526879470715 (g_ep 59), action: [1. 1.], time: 22:46:00.790681
Episode finished after 50 timesteps, total rewards -48, global rewards -45.497241994569244 (g_ep 61), action: [0.8407796 1.       ], time: 22:46:06.539369
Episode finished after 50 timesteps, total rewards -50, global rewards -45.61157520912777 (g_ep 66), action: [1. 1.], time: 22:46:13.501954
Episode finished after 50 timesteps, total rewards -50, global rewards -45.741915813841466 (g_ep 69), action: [1. 1.], time: 22:46:18.042567
Episode finished after 50 timesteps, total rewards -50, global rewards -45.90970132053201 (g_ep 73), action: [1. 1.], time: 22:46:23.580966
Episode finished after 50 timesteps, total rewards -50, global rewards -46.07087540879478 (g_ep 77), action: [1.        0.1167843], time: 22:46:32.638168
Episode finished after 50 timesteps, total rewards -47, global rewards -46.19569859489538 (g_ep 81), action: [1. 0.], time: 22:46:39.321878
Episode finished after 50 timesteps, total rewards -50, global rewards -46.34560324941911 (g_ep 85), action: [0. 0.], time: 22:46:49.161310
Episode finished after 50 timesteps, total rewards -50, global rewards -46.48960106243503 (g_ep 89), action: [1. 0.], time: 22:46:57.777985
Episode finished after 50 timesteps, total rewards -50, global rewards -46.67532808380422 (g_ep 95), action: [1. 1.], time: 22:47:08.484848
Episode finished after 50 timesteps, total rewards -50, global rewards -46.80633342274328 (g_ep 99), action: [1. 1.], time: 22:47:16.874725
Episode finished after 50 timesteps, total rewards -50, global rewards -46.89138751375438 (g_ep 102), action: [1. 0.], time: 22:47:24.805716
Episode finished after 50 timesteps, total rewards -50, global rewards -47.02413845658552 (g_ep 107), action: [1. 0.], time: 22:47:34.172425
Episode finished after 50 timesteps, total rewards -50, global rewards -47.08335810129947 (g_ep 109), action: [0. 1.], time: 22:47:40.976143
Episode finished after 50 timesteps, total rewards -50, global rewards -47.19828542950944 (g_ep 113), action: [0.         0.34266186], time: 22:47:50.992288
Episode finished after 50 timesteps, total rewards -50, global rewards -47.306488350803626 (g_ep 118), action: [1. 0.], time: 22:48:01.617373
Episode finished after 50 timesteps, total rewards -50, global rewards -47.38648834029641 (g_ep 121), action: [1. 1.], time: 22:48:08.200616
Episode finished after 50 timesteps, total rewards -50, global rewards -47.48947112760025 (g_ep 125), action: [1. 0.], time: 22:48:18.574791
Episode finished after 50 timesteps, total rewards -50, global rewards -47.61251202236117 (g_ep 130), action: [1. 0.], time: 22:48:27.187773
Episode finished after 50 timesteps, total rewards -50, global rewards -47.68342280278502 (g_ep 133), action: [0. 0.], time: 22:48:35.643935
Episode finished after 50 timesteps, total rewards -50, global rewards -47.774705187498306 (g_ep 137), action: [1. 0.], time: 22:48:46.216473
Episode finished after 50 timesteps, total rewards -50, global rewards -47.86239068203717 (g_ep 141), action: [0. 0.], time: 22:48:54.712186
Episode finished after 50 timesteps, total rewards -50, global rewards -47.90492910746463 (g_ep 143), action: [1. 1.], time: 22:49:02.289867
Episode finished after 50 timesteps, total rewards -50, global rewards -48.007608427363756 (g_ep 148), action: [0.22366759 0.        ], time: 22:49:11.776608
Episode finished after 50 timesteps, total rewards -50, global rewards -48.086116604968 (g_ep 152), action: [1. 0.], time: 22:49:20.557747
Episode finished after 50 timesteps, total rewards -50, global rewards -48.161531247127 (g_ep 156), action: [0. 1.], time: 22:49:28.429530
Episode finished after 50 timesteps, total rewards -50, global rewards -48.233974251480525 (g_ep 160), action: [0. 0.], time: 22:49:37.536032
Episode finished after 50 timesteps, total rewards -50, global rewards -48.30356271241493 (g_ep 164), action: [1. 0.], time: 22:49:46.709866
Episode finished after 50 timesteps, total rewards -50, global rewards -48.370409110330556 (g_ep 168), action: [0. 1.], time: 22:49:55.800714
Episode finished after 50 timesteps, total rewards -50, global rewards -48.45027527851667 (g_ep 173), action: [0. 1.], time: 22:50:05.299907
Episode finished after 50 timesteps, total rewards -49, global rewards -48.47650265246945 (g_ep 176), action: [0. 1.], time: 22:50:13.627429
Episode finished after 50 timesteps, total rewards -50, global rewards -48.51693252671656 (g_ep 180), action: [1. 0.], time: 22:50:23.437874
Episode finished after 50 timesteps, total rewards -50, global rewards -48.58961758957711 (g_ep 185), action: [0. 0.], time: 22:50:33.416754
Episode finished after 50 timesteps, total rewards -50, global rewards -48.645192283973586 (g_ep 189), action: [1. 1.], time: 22:50:42.205200
